DEPTH,VCL
3346.0093,0.5499
3346.1616,0.5721
3346.314,0.5996
3346.4666,0.5855
3346.6189,0.5317
3346.7712,0.5173
3346.9236,0.593
3347.0759,0.7224
3347.2285,0.8403
3347.3809,0.9162
3347.5332,0.9509
3347.6855,0.947
3347.8381,0.9096
3347.9905,0.8072
3348.1428,0.6734
3348.2952,0.5658
3348.4478,0.5213
3348.6001,0.5492
3348.7524,0.6151
3348.9048,0.6694
3349.0571,0.6596
3349.2097,0.6089
3349.3621,0.547
3349.5144,0.4917
3349.6667,0.5678
3349.8193,0.7376
3349.9717,0.9322
3350.124,1
3350.2764,1
3350.429,0.999
3350.5813,0.9916
3350.7336,0.9718
3350.886,0.9219
3351.0383,0.8683
3351.1909,0.8317
3351.3433,0.7991
3351.4956,0.7484
3351.6479,0.6448
3351.8005,0.5621
3351.9529,0.5225
3352.1052,0.5038
3352.2576,0.4623
3352.4102,0.4232
3352.5625,0.4298
3352.7148,0.49
3352.8672,0.575
3353.0195,0.6098
3353.1721,0.5825
3353.3245,0.529
3353.4768,0.4593
3353.6292,0.3872
3353.7817,0.2885
3353.9341,0.2508
3354.0864,0.2518
3354.2388,0.2669
3354.3914,0.2705
3354.5437,0.2795
3354.696,0.2651
3354.8484,0.2327
3355.0007,0.1795
3355.1533,0.1559
3355.3057,0.143
3355.458,0.1337
3355.6104,0.1316
3355.7629,0.1385
3355.9153,0.1391
3356.0676,0.1331
3356.22,0.1364
3356.3726,0.1435
3356.5249,0.1632
3356.6772,0.1785
3356.8296,0.196
3356.9819,0.1962
3357.1345,0.1571
3357.2869,0.1293
3357.4392,0.135
3357.5916,0.1519
3357.7441,0.1675
3357.8965,0.142
3358.0488,0.1276
3358.2012,0.1409
3358.3538,0.1901
3358.5061,0.2318
3358.6584,0.2286
3358.8108,0.2031
3358.9631,0.1833
3359.1157,0.2004
3359.2681,0.2516
3359.4204,0.2972
3359.5728,0.2989
3359.7253,0.2623
3359.8777,0.2304
3360.03,0.2473
3360.1824,0.2831
3360.335,0.3349
3360.4873,0.3838
3360.6396,0.4212
3360.792,0.4062
3360.9443,0.3697
3361.0969,0.3369
3361.2493,0.3028
3361.4016,0.2669
3361.554,0.2601
3361.7065,0.2837
3361.8589,0.3121
3362.0112,0.3279
3362.1636,0.3376
3362.3162,0.3536
3362.4685,0.3639
3362.6208,0.3767
3362.7732,0.3881
3362.9255,0.3791
3363.0781,0.3759
3363.2305,0.3737
3363.3828,0.3711
3363.5352,0.3436
3363.6877,0.3313
3363.8401,0.3343
3363.9924,0.3391
3364.1448,0.3331
3364.2971,0.3921
3364.4497,0.503
3364.6021,0.605
3364.7544,0.6467
3364.9067,0.5885
3365.0593,0.5423
3365.2117,0.5093
3365.364,0.4923
3365.5164,0.4919
3365.6689,0.4735
3365.8213,0.4534
3365.9736,0.4499
3366.126,0.4621
3366.2783,0.4962
3366.4309,0.5093
3366.5833,0.5109
3366.7356,0.5264
3366.8879,0.5485
3367.0405,0.6352
3367.1929,0.7106
3367.3452,0.7477
3367.4976,0.7654
3367.6501,0.805
3367.8025,0.9415
3367.9548,1
3368.1072,1
3368.2595,1
3368.4121,1
3368.5645,1
3368.7168,1
3368.8691,1
3369.0217,0.9523
3369.1741,0.8696
3369.3264,0.8205
3369.4788,0.7978
3369.6313,0.7331
3369.7837,0.6766
3369.936,0.6862
3370.0884,0.7343
3370.2407,0.7705
3370.3933,0.7606
3370.5457,0.7723
3370.698,0.8202
3370.8503,0.8937
3371.0029,0.9619
3371.1553,0.9987
3371.3076,1
3371.46,1
3371.6125,1
3371.7649,0.9993
3371.9172,0.9482
3372.0696,0.7804
3372.2219,0.6193
3372.3745,0.5172
3372.5269,0.4216
3372.6792,0.3891
3372.8315,0.376
3372.9841,0.3673
3373.1365,0.3564
3373.2888,0.3587
3373.4412,0.3772
3373.5938,0.4236
3373.7461,0.4802
3373.8984,0.5089
3374.0508,0.52
3374.2031,0.5239
3374.3557,0.5387
3374.5081,0.5757
3374.6604,0.5961
3374.8127,0.5843
3374.9653,0.5482
3375.1177,0.5108
3375.27,0.5103
3375.4224,0.5406
3375.575,0.5595
3375.7273,0.5599
3375.8796,0.5547
3376.032,0.5861
3376.1843,0.6673
3376.3369,0.7541
3376.4893,0.8306
3376.6416,0.8522
3376.7939,0.767
3376.9465,0.6324
3377.0989,0.4808
3377.2512,0.3774
3377.4036,0.3146
3377.5562,0.2863
3377.7085,0.2684
3377.8608,0.2542
3378.0132,0.2611
3378.1655,0.261
3378.3181,0.2497
3378.4705,0.2291
3378.6228,0.2515
3378.7751,0.3037
3378.9277,0.3479
3379.0801,0.3712
3379.2324,0.4199
3379.3848,0.5039
3379.5374,0.5905
3379.6897,0.5904
3379.842,0.5671
3379.9944,0.5453
3380.1467,0.5693
3380.2993,0.6037
3380.4517,0.6366
3380.604,0.6624
3380.7563,0.6799
3380.9089,0.6811
3381.0613,0.6878
3381.2136,0.679
3381.366,0.6693
3381.5186,0.6385
3381.6709,0.5999
3381.8232,0.5526
3381.9756,0.531
3382.1279,0.5416
3382.2805,0.608
3382.4329,0.6763
3382.5852,0.7509
3382.7375,0.7894
3382.8901,0.752
3383.0425,0.6339
3383.1948,0.5283
3383.3472,0.4562
3383.4998,0.4274
3383.6521,0.4234
3383.8044,0.4203
3383.9568,0.4106
3384.1091,0.4012
3384.2617,0.4002
3384.4141,0.4055
3384.5664,0.3931
3384.7188,0.3816
3384.8713,0.3771
3385.0237,0.4249
3385.176,0.5147
3385.3284,0.5689
3385.481,0.5723
3385.6333,0.5116
3385.7856,0.4222
3385.938,0.3683
3386.0903,0.3285
3386.2429,0.3141
3386.3953,0.3175
3386.5476,0.3347
3386.7,0.3558
3386.8525,0.3482
3387.0049,0.3136
3387.1572,0.2763
3387.3096,0.2745
3387.4622,0.2865
3387.6145,0.3007
3387.7668,0.3196
3387.9192,0.3365
3388.0715,0.3621
3388.2241,0.3765
3388.3765,0.3959
3388.5288,0.3765
3388.6812,0.3613
3388.8337,0.3615
3388.9861,0.3628
3389.1384,0.3622
3389.2908,0.342
3389.4434,0.3062
3389.5957,0.2864
3389.748,0.29
3389.9004,0.3593
3390.0527,0.4001
3390.2053,0.4074
3390.3577,0.3916
3390.51,0.3799
3390.6624,0.3659
3390.8149,0.3614
3390.9673,0.3603
3391.1196,0.3519
3391.272,0.3802
3391.4246,0.4169
3391.5769,0.4481
3391.7292,0.4657
3391.8816,0.4425
3392.0339,0.3968
3392.1865,0.3507
3392.3389,0.3404
3392.4912,0.3685
3392.6436,0.4227
3392.7961,0.4874
3392.9485,0.5209
3393.1008,0.5457
3393.2532,0.5422
3393.4058,0.5315
3393.5581,0.5058
3393.7104,0.5156
3393.8628,0.5469
3394.0151,0.5639
3394.1677,0.5821
3394.3201,0.619
3394.4724,0.6532
3394.6248,0.651
3394.7773,0.6257
3394.9297,0.6096
3395.082,0.5748
3395.2344,0.5325
3395.387,0.4621
3395.5393,0.4687
3395.6917,0.4856
3395.844,0.5055
3395.9963,0.4777
3396.1489,0.4455
3396.3013,0.4641
3396.4536,0.5061
3396.606,0.5325
3396.7585,0.534
3396.9109,0.5498
3397.0632,0.5562
3397.2156,0.5406
3397.3679,0.5157
3397.5205,0.5263
3397.6729,0.5313
3397.8252,0.5223
3397.9775,0.5124
3398.1301,0.5103
3398.2825,0.5791
3398.4348,0.686
3398.5872,0.7963
3398.7397,0.8296
3398.8921,0.8006
3399.0444,0.7753
3399.1968,0.8038
3399.3491,0.8631
3399.5017,0.9178
3399.6541,0.8928
3399.8064,0.8114
3399.9587,0.6952
3400.1113,0.5661
3400.2637,0.449
3400.416,0.3652
3400.5684,0.3619
3400.7209,0.3771
3400.8733,0.4119
3401.0256,0.4276
3401.178,0.4283
3401.3303,0.4303
3401.4829,0.4401
3401.6353,0.4648
3401.7876,0.5014
3401.9399,0.5658
3402.0925,0.667
3402.2449,0.7659
3402.3972,0.7676
3402.5496,0.6965
3402.7021,0.6322
3402.8545,0.6003
3403.0068,0.5487
3403.1592,0.4894
3403.3115,0.4946
3403.4641,0.5253
3403.6165,0.5236
3403.7688,0.4188
3403.9211,0.2954
3404.0737,0.228
3404.2261,0.1957
3404.3784,0.1767
3404.5308,0.1497
3404.6833,0.1393
